('backup_tmp',) 0.0
('collector_outages',) 0.77
('collector_state',) 0.89
('config_push',) 0.16
('customer_portal',) 6.59
('data_avail',) 11299.58
('data_cbqos',) 0.05
('data_cv',) 5.7
('data_dns',) 0.14
('data_email',) 0.14
('data_ftp',) 0.05
('data_if',) 142448.49
('data_if_ext',) 8.14
('data_ifutil',) 188787.37
('data_itsm',) 16.89
('data_normal_comp',) 0.02
('data_normal_comp_0',) 0.06
('data_normal_comp_1',) 2482.98
('data_normal_comp_10',) 1.3
('data_normal_comp_11',) 1.23
('data_normal_comp_12',) 1.3
('data_normal_comp_13',) 1.23
('data_normal_comp_14',) 1.3
('data_normal_comp_15',) 1.3
('data_normal_comp_16',) 0.06
('data_normal_comp_17',) 1.3
('data_normal_comp_18',) 1.3
('data_normal_comp_19',) 0.06
('data_normal_comp_20',) 0.06
('data_normal_comp_21',) 1.3
('data_normal_comp_22',) 1.3
('data_normal_comp_3',) 0.06
('data_normal_comp_4',) 2477.68
('data_normal_comp_5',) 2314.03
('data_normal_comp_6',) 1.3
('data_normal_comp_7',) 1.23
('data_normal_comp_8',) 1.3
('data_normal_comp_9',) 1.23
('data_ports',) 0.14
('data_procs',) 2463.02
('data_services',) 2178.53
('data_storage',) 55863.29
('data_tv',) 0.14
('data_vif',) 0.09
('debug',) 0.03
('device_logs',) 3698.36
('dynamic_app_data_0',) 0.83
('dynamic_app_data_1035',) 67.15
('dynamic_app_data_1037',) 0.14
('dynamic_app_data_1038',) 3.87
('dynamic_app_data_1039',) 29.44
('dynamic_app_data_1040',) 16.55
('dynamic_app_data_1041',) 16.55
('dynamic_app_data_1042',) 21.86
('dynamic_app_data_1043',) 16.98
('dynamic_app_data_1044',) 17.24
('dynamic_app_data_1045',) 13.31
('dynamic_app_data_1046',) 63.87
('dynamic_app_data_1047',) 16.55
('dynamic_app_data_1048',) 1651.48
('dynamic_app_data_1049',) 273.24
('dynamic_app_data_1050',) 155.35
('dynamic_app_data_1051',) 21.57
('dynamic_app_data_1052',) 6.62
('dynamic_app_data_1053',) 3.12
('dynamic_app_data_1054',) 216.31
