('backup_tmp',) 0.0
('collector_outages',) 0.87
('collector_state',) 0.99
('config_push',) 0.16
('customer_portal',) 7.27
('data_avail',) 12475.64
('data_cbqos',) 0.05
('data_cv',) 6.29
('data_dns',) 0.14
('data_email',) 0.14
('data_ftp',) 0.05
('data_if',) 157274.65
('data_if_ext',) 8.99
('data_ifutil',) 208436.51
('data_itsm',) 18.65
('data_normal_comp',) 0.02
('data_normal_comp_0',) 0.06
('data_normal_comp_1',) 2741.41
('data_normal_comp_10',) 1.45
('data_normal_comp_11',) 1.36
('data_normal_comp_12',) 1.45
('data_normal_comp_13',) 1.36
('data_normal_comp_14',) 1.45
('data_normal_comp_15',) 1.45
('data_normal_comp_16',) 0.06
('data_normal_comp_17',) 1.45
('data_normal_comp_18',) 1.45
('data_normal_comp_19',) 0.06
('data_normal_comp_20',) 0.06
('data_normal_comp_21',) 1.45
('data_normal_comp_22',) 1.45
('data_normal_comp_3',) 0.06
('data_normal_comp_4',) 2735.56
('data_normal_comp_5',) 2554.88
('data_normal_comp_6',) 1.45
('data_normal_comp_7',) 1.36
('data_normal_comp_8',) 1.45
('data_normal_comp_9',) 1.36
('data_ports',) 0.14
('data_procs',) 2719.38
('data_services',) 2405.27
('data_storage',) 61677.58
('data_tv',) 0.14
('data_vif',) 0.09
('debug',) 0.03
('device_logs',) 4083.29
('dynamic_app_data_0',) 0.93
('dynamic_app_data_1035',) 74.14
('dynamic_app_data_1037',) 0.14
('dynamic_app_data_1038',) 4.27
('dynamic_app_data_1039',) 32.5
('dynamic_app_data_1040',) 18.27
('dynamic_app_data_1041',) 18.27
('dynamic_app_data_1042',) 24.13
('dynamic_app_data_1043',) 18.75
('dynamic_app_data_1044',) 19.03
('dynamic_app_data_1045',) 14.7
('dynamic_app_data_1046',) 70.52
('dynamic_app_data_1047',) 18.27
('dynamic_app_data_1048',) 1823.36
('dynamic_app_data_1049',) 301.68
('dynamic_app_data_1050',) 171.52
('dynamic_app_data_1051',) 23.82
('dynamic_app_data_1052',) 7.3
('dynamic_app_data_1053',) 3.44
('dynamic_app_data_1054',) 238.82
('dynamic_app_data_1055',) 2.71
('dynamic_app_data_1056',) 2.69
('dynamic_app_data_1057',) 13784.9
('dynamic_app_data_1058',) 5.26
('dynamic_app_data_1059',) 8.32
('dynamic_app_data_1060',) 5.26
('dynamic_app_data_1062',) 0.14
('dynamic_app_data_1063',) 0.2
('dynamic_app_data_1064',) 163.9
('dynamic_app_data_1065',) 76.1
('dynamic_app_data_1066',) 25.75
('dynamic_app_data_1067',) 1.69
('dynamic_app_data_1068',) 0.87
('dynamic_app_data_1069',) 234.11
('dynamic_app_data_1070',) 0.2
('dynamic_app_data_1072',) 4.4
('dynamic_app_data_1077',) 4.4
('dynamic_app_data_1084',) 0.02
('dynamic_app_data_1085',) 0.02
('dynamic_app_data_1087',) 0.02
('dynamic_app_data_1088',) 0.06
('dynamic_app_data_1090',) 0.02
('dynamic_app_data_1092',) 0.02
('dynamic_app_data_1093',) 0.02
('dynamic_app_data_1099',) 228.18
('dynamic_app_data_1100',) 281.51
('dynamic_app_data_1101',) 3.65
('dynamic_app_data_1102',) 109.56
('dynamic_app_data_1103',) 1.05
('dynamic_app_data_1104',) 2243.32
('dynamic_app_data_1108',) 1.27
('dynamic_app_data_1109',) 0.83
('dynamic_app_data_1112',) 40.52
('dynamic_app_data_1113',) 3.79
('dynamic_app_data_1156',) 291.96
('dynamic_app_data_1223',) 1.6
('dynamic_app_data_1232',) 0.02
('dynamic_app_data_1236',) 4191.67
('dynamic_app_data_1237',) 2064.53
('dynamic_app_data_1238',) 2064.53
('dynamic_app_data_1239',) 0.02
('dynamic_app_data_1241',) 1.17
('dynamic_app_data_1265',) 2.79
('dynamic_app_data_1266',) 51090.77
('dynamic_app_data_1276',) 159620.78
('dynamic_app_data_1296',) 383163.06
('dynamic_app_data_1305',) 0.02
('dynamic_app_data_1306',) 0.89
('dynamic_app_data_1308',) 24.18
('dynamic_app_data_169',) 0.83
('dynamic_app_data_170',) 134.2
('dynamic_app_data_171',) 2403.5
('dynamic_app_data_172',) 128.33
('dynamic_app_data_173',) 166.32
('dynamic_app_data_174',) 1919.69
('dynamic_app_data_175',) 2115.29
('dynamic_app_data_312',) 10.23
('dynamic_app_data_313',) 5.59
('dynamic_app_data_314',) 0.99
('dynamic_app_data_315',) 169.37
('dynamic_app_data_316',) 5.59
('dynamic_app_data_317',) 6.12
('dynamic_app_data_318',) 2.41
('dynamic_app_data_319',) 5.81
('dynamic_app_data_321',) 64.58
('dynamic_app_data_324',) 0.0
('dynamic_app_data_480',) 715.19
('dynamic_app_data_481',) 4.4
('dynamic_app_data_482',) 28.45
('dynamic_app_data_483',) 111.18
('dynamic_app_data_56',) 105367.07
('dynamic_app_data_569',) 2.69
('dynamic_app_data_57',) 95820.39
('dynamic_app_data_572',) 5.64
('dynamic_app_data_574',) 1.11
('dynamic_app_data_58',) 150415.73
('dynamic_app_data_59',) 56626.48
('dynamic_app_data_706',) 5372.27
('dynamic_app_data_707',) 4897.41
('dynamic_app_data_727',) 4.67
('dynamic_app_data_728',) 76.74
('dynamic_app_data_820',) 0.87
('dynamic_app_data_825',) 0.16
('dynamic_app_data_830',) 1.42
('dynamic_app_data_831',) 1069.34
('dynamic_app_data_843',) 8.82
('dynamic_app_data_844',) 14.78
('dynamic_app_data_845',) 629.25
('dynamic_app_data_847',) 1.01
('dynamic_app_data_851',) 0.0
('dynamic_app_data_891',) 5.11
('dynamic_app_data_892',) 4.4
('dynamic_app_data_895',) 4.4
('dynamic_app_data_938',) 245.03
('dynamic_app_data_939',) 260502.95
('dynamic_app_data_940',) 203774.85
('dynamic_app_data_941',) 117691.52
('dynamic_app_data_942',) 99128.61
('dynamic_app_data_943',) 710.08
('dynamic_app_data_944',) 7113.9
('dynamic_app_data_945',) 1441.33
('dynamic_app_data_952',) 1.42
('dynamic_app_data_953',) 0.08
('dynamic_app_data_954',) 1299.68
('dynamic_app_data_955',) 305.3
('dynamic_app_data_956',) 10.23
('dynamic_app_data_957',) 1.42
('dynamic_app_data_958',) 4.4
('dynamic_app_data_959',) 42.42
('dynamic_app_data_960',) 1.42
('dynamic_app_data_961',) 1165.56
('dynamic_app_data_962',) 264.45
('dynamic_app_data_963',) 1.42
('dynamic_app_data_983',) 23.03
('dynamic_rules',) 2.1
('in_agent',) 0.02
('in_api',) 0.02
('in_dynamic',) 0.05
('in_internal',) 0.02
('in_mail',) 0.05
('in_syslog',) 0.02
('information_schema',) 0.17
('master',) 3223.34
('master_access',) 5.17
('master_biz',) 413.9
('master_custom',) 68.64
('master_debug',) 0.0
('master_dev',) 750.32
('master_dns',) 1.6
('master_events',) 985.9
('master_filestore',) 10018.25
('master_logs',) 4351.45
('master_platform',) 996.39
('master_reports',) 27.01
('meta_stats',) 10651.47
('mysql',) 313.06
('net_snmp',) 0.05
('out_messages',) 0.16
('performance_schema',) 0.0
('scheduler',) 0.08
('subscriber_data',) 1129.34
"
"
"Total Size of InnoDB: 767062.86
"
