('dynamic_app_data_895',) 2.43
('dynamic_app_data_938',) 135.28
('dynamic_app_data_939',) 143816.09
('dynamic_app_data_940',) 112498.18
('dynamic_app_data_941',) 64974.04
('dynamic_app_data_942',) 54726.02
('dynamic_app_data_943',) 392.01
('dynamic_app_data_944',) 3927.37
('dynamic_app_data_945',) 795.71
('dynamic_app_data_952',) 0.77
('dynamic_app_data_953',) 0.08
('dynamic_app_data_954',) 717.55
('dynamic_app_data_955',) 168.53
('dynamic_app_data_956',) 5.65
('dynamic_app_data_957',) 0.77
('dynamic_app_data_958',) 2.43
('dynamic_app_data_959',) 23.4
('dynamic_app_data_960',) 0.77
('dynamic_app_data_961',) 643.46
('dynamic_app_data_962',) 146.0
('dynamic_app_data_963',) 0.77
('dynamic_app_data_983',) 12.71
('dynamic_rules',) 1.17
('in_agent',) 0.02
('in_api',) 0.02
('in_dynamic',) 0.05
('in_internal',) 0.02
('in_mail',) 0.05
('in_syslog',) 0.02
('information_schema',) 0.17
('master',) 1779.53
('master_access',) 2.85
('master_biz',) 228.49
('master_custom',) 37.9
('master_debug',) 0.0
('master_dev',) 414.23
('master_dns',) 0.89
('master_events',) 544.29
('master_filestore',) 5530.77
('master_logs',) 2402.31
('master_platform',) 550.07
('master_reports',) 14.91
('meta_stats',) 5880.37
('mysql',) 172.82
('net_snmp',) 0.05
('out_messages',) 0.16
('performance_schema',) 0.0
('scheduler',) 0.08
('subscriber_data',) 623.49
"
"
"Total Size of InnoDB: 767062.86
"
